Time,GHI,p_PV
01/01/2020 00:00,0,0
01/01/2020 01:00,0,0
01/01/2020 02:00,0,0
01/01/2020 03:00,0,0
01/01/2020 04:00,0,0
01/01/2020 05:00,0,0
01/01/2020 06:00,0,0
01/01/2020 07:00,0,0
01/01/2020 08:00,0,0
01/01/2020 09:00,21,31.5
01/01/2020 10:00,55,82.5
01/01/2020 11:00,78,117
01/01/2020 12:00,101,151.5
01/01/2020 13:00,122,183
01/01/2020 14:00,70,105
01/01/2020 15:00,58,87
01/01/2020 16:00,16,24
01/01/2020 17:00,0,0
01/01/2020 18:00,0,0
01/01/2020 19:00,0,0
01/01/2020 20:00,0,0
01/01/2020 21:00,0,0
01/01/2020 22:00,0,0
01/01/2020 23:00,0,0
02/01/2020 00:00,0,0
02/01/2020 01:00,0,0
02/01/2020 02:00,0,0
02/01/2020 03:00,0,0
02/01/2020 04:00,0,0
02/01/2020 05:00,0,0
02/01/2020 06:00,0,0
02/01/2020 07:00,0,0
02/01/2020 08:00,0,0
02/01/2020 09:00,18,27
02/01/2020 10:00,59,88.5
02/01/2020 11:00,107,160.5
02/01/2020 12:00,244,366
02/01/2020 13:00,250,375
02/01/2020 14:00,195,292.5
02/01/2020 15:00,105,157.5
02/01/2020 16:00,24,36
02/01/2020 17:00,0,0
02/01/2020 18:00,0,0
02/01/2020 19:00,0,0
02/01/2020 20:00,0,0
02/01/2020 21:00,0,0
02/01/2020 22:00,0,0
02/01/2020 23:00,0,0
03/01/2020 00:00,0,0
03/01/2020 01:00,0,0
03/01/2020 02:00,0,0
03/01/2020 03:00,0,0
03/01/2020 04:00,0,0
03/01/2020 05:00,0,0
03/01/2020 06:00,0,0
03/01/2020 07:00,0,0
03/01/2020 08:00,1,1.5
03/01/2020 09:00,27,40.5
03/01/2020 10:00,80,120
03/01/2020 11:00,110,165
03/01/2020 12:00,127,190.5
03/01/2020 13:00,115,172.5
03/01/2020 14:00,79,118.5
03/01/2020 15:00,55,82.5
03/01/2020 16:00,16,24
03/01/2020 17:00,0,0
03/01/2020 18:00,0,0
03/01/2020 19:00,0,0
03/01/2020 20:00,0,0
03/01/2020 21:00,0,0
03/01/2020 22:00,0,0
03/01/2020 23:00,0,0
04/01/2020 00:00,0,0
04/01/2020 01:00,0,0
04/01/2020 02:00,0,0
04/01/2020 03:00,0,0
04/01/2020 04:00,0,0
04/01/2020 05:00,0,0
04/01/2020 06:00,0,0
04/01/2020 07:00,0,0
04/01/2020 08:00,1,1.5
04/01/2020 09:00,53,79.5
04/01/2020 10:00,160,240
04/01/2020 11:00,252,378
04/01/2020 12:00,301,451.5
04/01/2020 13:00,293,439.5
04/01/2020 14:00,234,351
04/01/2020 15:00,136,204
04/01/2020 16:00,36,54
04/01/2020 17:00,0,0
04/01/2020 18:00,0,0
04/01/2020 19:00,0,0
04/01/2020 20:00,0,0
04/01/2020 21:00,0,0
04/01/2020 22:00,0,0
04/01/2020 23:00,0,0
05/01/2020 00:00,0,0
05/01/2020 01:00,0,0
05/01/2020 02:00,0,0
05/01/2020 03:00,0,0
05/01/2020 04:00,0,0
05/01/2020 05:00,0,0
05/01/2020 06:00,0,0
05/01/2020 07:00,0,0
05/01/2020 08:00,0,0
05/01/2020 09:00,20,30
05/01/2020 10:00,52,78
05/01/2020 11:00,76,114
05/01/2020 12:00,88,132
05/01/2020 13:00,83,124.5
05/01/2020 14:00,68,102
05/01/2020 15:00,47,70.5
05/01/2020 16:00,14,21
05/01/2020 17:00,0,0
05/01/2020 18:00,0,0
05/01/2020 19:00,0,0
05/01/2020 20:00,0,0
05/01/2020 21:00,0,0
05/01/2020 22:00,0,0
05/01/2020 23:00,0,0
06/01/2020 00:00,0,0
06/01/2020 01:00,0,0
06/01/2020 02:00,0,0
06/01/2020 03:00,0,0
06/01/2020 04:00,0,0
06/01/2020 05:00,0,0
06/01/2020 06:00,0,0
06/01/2020 07:00,0,0
06/01/2020 08:00,0,0
06/01/2020 09:00,21,31.5
06/01/2020 10:00,57,85.5
06/01/2020 11:00,74,111
06/01/2020 12:00,84,126
06/01/2020 13:00,79,118.5
06/01/2020 14:00,74,111
06/01/2020 15:00,47,70.5
06/01/2020 16:00,15,22.5
06/01/2020 17:00,0,0
06/01/2020 18:00,0,0
06/01/2020 19:00,0,0
06/01/2020 20:00,0,0
06/01/2020 21:00,0,0
06/01/2020 22:00,0,0
06/01/2020 23:00,0,0
07/01/2020 00:00,0,0
07/01/2020 01:00,0,0
07/01/2020 02:00,0,0
07/01/2020 03:00,0,0
07/01/2020 04:00,0,0
07/01/2020 05:00,0,0
07/01/2020 06:00,0,0
07/01/2020 07:00,0,0
07/01/2020 08:00,1,1.5
07/01/2020 09:00,24,36
07/01/2020 10:00,58,87
07/01/2020 11:00,88,132
07/01/2020 12:00,97,145.5
07/01/2020 13:00,114,171
07/01/2020 14:00,91,136.5
07/01/2020 15:00,53,79.5
07/01/2020 16:00,17,25.5
07/01/2020 17:00,0,0
07/01/2020 18:00,0,0
07/01/2020 19:00,0,0
07/01/2020 20:00,0,0
07/01/2020 21:00,0,0
07/01/2020 22:00,0,0
07/01/2020 23:00,0,0
08/01/2020 00:00,0,0
08/01/2020 01:00,0,0
08/01/2020 02:00,0,0
08/01/2020 03:00,0,0
08/01/2020 04:00,0,0
08/01/2020 05:00,0,0
08/01/2020 06:00,0,0
08/01/2020 07:00,0,0
08/01/2020 08:00,1,1.5
08/01/2020 09:00,22,33
08/01/2020 10:00,59,88.5
08/01/2020 11:00,93,139.5
08/01/2020 12:00,106,159
08/01/2020 13:00,83,124.5
08/01/2020 14:00,70,105
08/01/2020 15:00,46,69
08/01/2020 16:00,15,22.5
08/01/2020 17:00,0,0
08/01/2020 18:00,0,0
08/01/2020 19:00,0,0
08/01/2020 20:00,0,0
08/01/2020 21:00,0,0
08/01/2020 22:00,0,0
08/01/2020 23:00,0,0
09/01/2020 00:00,0,0
09/01/2020 01:00,0,0
09/01/2020 02:00,0,0
09/01/2020 03:00,0,0
09/01/2020 04:00,0,0
09/01/2020 05:00,0,0
09/01/2020 06:00,0,0
09/01/2020 07:00,0,0
09/01/2020 08:00,1,1.5
09/01/2020 09:00,24,36
09/01/2020 10:00,66,99
09/01/2020 11:00,125,187.5
09/01/2020 12:00,215,322.5
09/01/2020 13:00,169,253.5
09/01/2020 14:00,126,189
09/01/2020 15:00,78,117
09/01/2020 16:00,21,31.5
09/01/2020 17:00,0,0
09/01/2020 18:00,0,0
09/01/2020 19:00,0,0
09/01/2020 20:00,0,0
09/01/2020 21:00,0,0
09/01/2020 22:00,0,0
09/01/2020 23:00,0,0
